242,0.1974,0.1638,0.0897,0.1531,0.0957,0.0574,0.0909,0.0574,0.0945
243,0.1932,0.09094,0.102,0.0877,0.1033,0.1034,0.0999,0.1216,0.09796
244,0.1743,0.09674,0.09515,0.09686,0.0862,0.1075,0.0984,0.0957,0.1492
245,0.1785,0.1276,0.09485,0.1244,0.0968,0.0871,0.10266,0.08826,0.0999
246,0.1626,0.10876,0.1043,0.1007,0.0873,0.10583,0.10876,0.10095,0.1209
247,0.1611,0.10004,0.0886,0.10547,0.0846,0.0896,0.1009,0.1053,0.1646
248,0.1686,0.1035,0.09393,0.0844,0.11206,0.1078,0.0843,0.10516,0.1403
249,0.1606,0.1079,0.1092,0.10736,0.0907,0.1092,0.10034,0.1144,0.1002
250,0.1782,0.11426,0.1079,0.1115,0.09485,0.1055,0.0857,0.09125,0.1107
251,0.1572,0.1011,0.11255,0.0904,0.0887,0.10394,0.11163,0.094,0.1405
252,0.1794,0.1093,0.0991,0.11505,0.095,0.1075,0.0999,0.09564,0.0991
253,0.137,0.10376,0.1206,0.09045,0.0953,0.1151,0.1055,0.1111,0.1212
254,0.168,0.1104,0.1124,0.09344,0.1193,0.09314,0.09515,0.08856,0.1196
255,0.1881,0.1026,0.1047,0.1108,0.1112,0.0977,0.1038,0.0977,0.0834
256,0.1641,0.0969,0.10803,0.0889,0.10065,0.1012,0.1014,0.0859,0.153
257,0.1732,0.1064,0.1026,0.0922,0.11316,0.0872,0.1019,0.0988,0.1243
258,0.1655,0.11127,0.1107,0.09406,0.1224,0.0895,0.10175,0.0842,0.12067
259,0.1337,0.12054,0.12164,0.1092,0.0904,0.10583,0.0976,0.1004,0.1207
260,0.1863,0.1035,0.1007,0.09125,0.12494,0.09906,0.1035,0.0835,0.10724
261,0.1716,0.1193,0.10345,0.11505,0.129,0.0858,0.08887,0.0846,0.10223
262,0.1772,0.11084,0.10583,0.0974,0.08966,0.1049,0.0997,0.0998,0.1146
263,0.1747,0.1175,0.10834,0.11566,0.101,0.1065,0.1126,0.08887,0.0749
264,0.1742,0.1008,0.10205,0.1016,0.10535,0.103,0.1,0.07477,0.1382
265,0.1704,0.0885,0.0939,0.1035,0.1037,0.1008,0.0833,0.09644,0.1594
266,0.1768,0.1343,0.11176,0.1272,0.1053,0.0976,0.10645,0.068,0.07275
267,0.1605,0.09717,0.1116,0.0925,0.0948,0.0867,0.09015,0.09784,0.1687
268,0.138,0.1025,0.1088,0.0971,0.1092,0.102,0.10547,0.1081,0.1289
